wave,flux,model,residual,CO2_model
9.745798380914003,0.0001369405994053538,0.0,0.0001369405994053538,0.0
9.747097986457765,-7.365713668542467e-05,0.0,-7.365713668542467e-05,0.0
9.748397579056425,-0.00024874972511453736,0.0,-0.00024874972511453736,0.0
9.749697158658952,-0.0002733687208503338,0.0,-0.0002733687208503338,0.0
9.750996725214309,3.53145469465313e-05,0.0,3.53145469465313e-05,0.0
9.75229627867147,0.0001379240091635009,0.0,0.0001379240091635009,0.0
9.75359581897939,-0.00014773958446490099,0.0,-0.00014773958446490099,0.0
9.754895346087045,0.00020505558840382826,0.0,0.00020505558840382826,0.0
9.756194859943394,8.769001928885661e-05,0.0,8.769001928885661e-05,0.0
9.75749436049741,-0.0001103301310444102,0.0,-0.0001103301310444102,0.0
9.758793847698051,-0.0002679444211052609,0.0,-0.0002679444211052609,0.0
9.760093321494292,5.216451532440852e-05,0.0,5.216451532440852e-05,0.0
9.761392781835095,-0.00010427153356101782,0.0,-0.00010427153356101782,0.0
9.76269222866943,9.613112038862198e-05,0.0,9.613112038862198e-05,0.0
9.763991661946253,0.00011837512927342919,0.0,0.00011837512927342919,0.0
9.765291081614542,0.0001319297568356803,0.0,0.0001319297568356803,0.0
9.766590487623256,9.525282529974921e-06,0.0,9.525282529974921e-06,0.0
9.767889879921364,8.991639678560676e-05,0.0,8.991639678560676e-05,0.0
9.769189258457832,-1.0859497758045067e-05,0.0,-1.0859497758045067e-05,0.0
9.77048862318163,-0.00018176318502822336,0.0,-0.00018176318502822336,0.0
9.771787974041715,-0.00014804091411668024,0.0,-0.00014804091411668024,0.0
9.77308731098706,-0.0002737457813859756,0.0,-0.0002737457813859756,0.0
9.77438663396663,-0.00020565644670559463,0.0,-0.00020565644670559463,0.0
9.775685942929393,-0.00019278959351247404,0.0,-0.00019278959351247404,0.0
9.776985237824313,-0.00027433851278582666,0.0,-0.00027433851278582666,0.0
9.778284518600357,-0.00015200471894908502,0.0,-0.00015200471894908502,0.0
9.77958378520649,-0.00018825633060085,0.0,-0.00018825633060085,0.0
9.78088303759168,-0.00023034043349232092,0.0,-0.00023034043349232092,0.0
9.782182275704892,-0.00019011254661229632,0.0,-0.00019011254661229632,0.0
9.783481499495094,-0.00023811031540963562,0.0,-0.00023811031540963562,0.0
9.784780708911251,-0.00027368674414153527,0.0,-0.00027368674414153527,0.0
9.786079903902328,-3.26485564564466e-05,0.0,-3.26485564564466e-05,0.0
9.787379084417296,2.9799664182240948e-05,0.0,2.9799664182240948e-05,0.0
9.788678250405113,9.656778370146363e-05,0.0,9.656778370146363e-05,0.0
9.789977401814753,0.0002893193544803163,0.0,0.0002893193544803163,0.0
9.791276538595179,-8.193914874672636e-06,0.0,-8.193914874672636e-06,0.0
9.792575660695357,7.609593823049154e-05,0.0,7.609593823049154e-05,0.0
9.793874768064255,-6.900206753070182e-06,0.0,-6.900206753070182e-06,0.0
9.795173860650836,3.2974022261322844e-05,0.0,3.2974022261322844e-05,0.0
9.79647293840407,4.2962276021650536e-05,0.0,4.2962276021650536e-05,0.0
9.797772001272921,0.00014697832051813187,0.0,0.00014697832051813187,0.0
9.79907104920636,-2.4498658600935475e-06,0.0,-2.4498658600935475e-06,0.0
