wave,flux,model,residual,H2O_warm_model,H2O_hot_model
4.969317977981818,-0.001486524411773299,0.0,-0.001486524411773299,0.0,0.0
4.970119328258239,-0.00045996699041912087,0.0,-0.00045996699041912087,0.0,0.0
4.970920669905086,-0.00034756746306258135,0.0,-0.00034756746306258135,0.0,0.0
4.971722002942872,-0.001485221005087467,0.0,-0.001485221005087467,0.0,0.0
4.972523327392115,-0.0005468925379195147,0.0,-0.0005468925379195147,0.0,0.0
4.973324643273331,0.0007487480919418227,0.0,0.0007487480919418227,0.0,0.0
4.974125950607036,0.001606943312488389,0.0,0.001606943312488389,0.0,0.0
4.974927249413744,0.0015624569769229282,0.0,0.0015624569769229282,0.0,0.0
4.975728539713972,0.0013445780043388825,0.0,0.0013445780043388825,0.0,0.0
4.976529821528237,0.0015621610703659486,0.0,0.0015621610703659486,0.0,0.0
4.977331094877053,0.0008560662570844674,0.0,0.0008560662570844674,0.0,0.0
4.978132359780938,-0.0010954838354078483,0.0,-0.0010954838354078483,0.0,0.0
4.978933616260405,-0.0023273008493321784,0.0,-0.0023273008493321784,0.0,0.0
4.979734864335971,-0.0011591093833331137,0.0,-0.0011591093833331137,0.0,0.0
4.980536104028153,9.885587746573388e-05,0.0,9.885587746573388e-05,0.0,0.0
4.981337335357465,0.001181165816332,0.0,0.001181165816332,0.0,0.0
4.982138558344425,0.0003361577225652404,0.0,0.0003361577225652404,0.0,0.0
4.982939773009548,-0.0006691365761809856,0.0,-0.0006691365761809856,0.0,0.0
4.983740979373348,-0.0004219389505151286,0.0,-0.0004219389505151286,0.0,0.0
4.984542177456342,0.0014238111146384624,0.0,0.0014238111146384624,0.0,0.0
4.9853433672790475,0.0010250757375133146,0.0,0.0010250757375133146,0.0,0.0
4.9861445488619776,0.0010548049890853756,0.0,0.0010548049890853756,0.0,0.0
4.986945722225651,0.0020176311836594407,0.0,0.0020176311836594407,0.0,0.0
4.987746887390581,0.0018981641262012447,0.0,0.0018981641262012447,0.0,0.0
4.988548044377285,0.0005993973546939355,0.0,0.0005993973546939355,0.0,0.0
4.9893491932062775,-0.0014698790222610128,0.0,-0.0014698790222610128,0.0,0.0
4.990150333898076,-0.0020701178398114667,0.0,-0.0020701178398114667,0.0,0.0
4.990951466473196,-0.0021149071885664186,0.0,-0.0021149071885664186,0.0,0.0
4.991752590952151,-0.0010478400954372358,0.0,-0.0010478400954372358,0.0,0.0
4.992553707355461,-0.00026151513749197997,0.0,-0.00026151513749197997,0.0,0.0
4.993354815703638,0.00011680676509127907,0.0,0.00011680676509127907,0.0,0.0
4.994155916017199,-0.0005589985849554294,0.0,-0.0005589985849554294,0.0,0.0
4.9949570083166615,-0.0010901896366480868,0.0,-0.0010901896366480868,0.0,0.0
4.995758092622539,-3.085779198659655e-05,0.0,-3.085779198659655e-05,0.0,0.0
4.99655916895535,0.00015797511555822041,0.0,0.00015797511555822041,0.0,0.0
4.997360237335607,0.0006045176292381049,0.0,0.0006045176292381049,0.0,0.0
4.998161297783828,0.0007345035703858818,0.0,0.0007345035703858818,0.0,0.0
4.998962350320528,-0.0006518945894855577,0.0,-0.0006518945894855577,0.0,0.0
4.999763394966224,-0.0025683686814105128,0.0,-0.0025683686814105128,0.0,0.0
5.00056443174143,-0.002138997929785974,0.0,-0.002138997929785974,0.0,0.0
5.001365460666664,-0.0017372451460036104,0.0,-0.0017372451460036104,0.0,0.0
5.0021664817624405,-0.001871906989570904,0.0,-0.001871906989570904,0.0,0.0
5.002967495049275,-0.001309721186954653,0.0,-0.001309721186954653,0.0,0.0
5.003768500547685,3.4932782243465854e-06,0.0,3.4932782243465854e-06,0.0,0.0
5.004569498278185,0.0014015969649062085,0.0,0.0014015969649062085,0.0,0.0
5.00537048826129,0.0011398254735874164,0.0,0.0011398254735874164,0.0,0.0
5.006171470517518,-0.0006682564070331631,0.0,-0.0006682564070331631,0.0,0.0
5.006972445067384,-0.00022610683482271465,0.0,-0.00022610683482271465,0.0,0.0
5.007773411931403,-0.00028915837651869586,0.0,-0.00028915837651869586,0.0,0.0
5.008574371130091,-0.0007361558015227115,0.0,-0.0007361558015227115,0.0,0.0
5.009375322683965,-0.0008035657572043817,0.0,-0.0008035657572043817,0.0,0.0
5.0101762666135405,-0.0012855504370714935,0.0,-0.0012855504370714935,0.0,0.0
5.0109772029393325,-0.0006874740150404554,0.0,-0.0006874740150404554,0.0,0.0
5.011778131681857,-0.0010614028043568619,0.0,-0.0010614028043568619,0.0,0.0
5.01257905286163,-0.0022545306467324916,0.0,-0.0022545306467324916,0.0,0.0
5.013379966499168,-0.000621538649283937,0.0,-0.000621538649283937,0.0,0.0
5.014180872614986,-0.00020311556572451955,0.0,-0.00020311556572451955,0.0,0.0
5.014981771229602,-0.0013896570449708698,0.0,-0.0013896570449708698,0.0,0.0
5.015782662363528,-0.0012189917124668936,0.0,-0.0012189917124668936,0.0,0.0
5.016583546037282,-0.0004270605960176657,0.0,-0.0004270605960176657,0.0,0.0
5.01738442227138,-0.0004820879428291541,0.0,-0.0004820879428291541,0.0,0.0
