wave,flux,model,residual,C2H2_model,HCN_model,13C12CH2_model
23.86721300408895,0.0026628038865482775,0.0,0.0026628038865482775,0.0,0.0,0.0
23.87321742205763,0.00048121638295520186,0.0,0.00048121638295520186,0.0,0.0,0.0
23.879221923675374,0.000551438880968709,0.0,0.000551438880968709,0.0,0.0,0.0
23.885226509341784,0.0007512337212014567,0.0,0.0007512337212014567,0.0,0.0,0.0
23.891231179456476,0.0009498130878838537,0.0,0.0009498130878838537,0.0,0.0,0.0
23.897235934419047,0.0021944157055505883,0.0,0.0021944157055505883,0.0,0.0,0.0
23.903240774629108,0.0007730197689418336,0.0,0.0007730197689418336,0.0,0.0,0.0
23.909245700486274,0.0005255574047986697,0.0,0.0005255574047986697,0.0,0.0,0.0
23.915250712390144,0.0005652662407385628,0.0,0.0005652662407385628,0.0,0.0,0.0
23.92125581074033,0.0012136425199238826,0.0,0.0012136425199238826,0.0,0.0,0.0
23.927260995936436,0.0024090466570152527,0.0,0.0024090466570152527,0.0,0.0,0.0
23.933266268378073,0.0012805322518431236,0.0,0.0012805322518431236,0.0,0.0,0.0
23.939271628464844,0.0007219643568082551,0.0,0.0007219643568082551,0.0,0.0,0.0
23.945277076596366,0.0004940569439119483,0.0,0.0004940569439119483,0.0,0.0,0.0
23.951282613172236,0.0017698881408548042,0.0,0.0017698881408548042,0.0,0.0,0.0
23.957288238592067,0.00021977212536668927,0.0,0.00021977212536668927,0.0,0.0,0.0
23.963293953255466,-0.00031819159966807453,0.0,-0.00031819159966807453,0.0,0.0,0.0
23.969299757562037,-0.0006579364252818701,0.0,-0.0006579364252818701,0.0,0.0,0.0
23.97530565191139,-0.00022017370374361606,0.0,-0.00022017370374361606,0.0,0.0,0.0
23.98131163670314,0.0006503595194140982,0.0,0.0006503595194140982,0.0,0.0,0.0
23.987317712336882,0.00019094491415562465,0.0,0.00019094491415562465,0.0,0.0,0.0
23.99332387921223,-0.0006276122848141094,0.0,-0.0006276122848141094,0.0,0.0,0.0
23.999330137728794,0.0006054235623038709,0.0,0.0006054235623038709,0.0,0.0,0.0
24.00533648828618,8.620329317809289e-05,0.0,8.620329317809289e-05,0.0,0.0,0.0
24.01134293128399,0.000262804100593754,0.0,0.000262804100593754,0.0,0.0,0.0
24.01734946712184,-0.0005451890414750332,0.0,-0.0005451890414750332,0.0,0.0,0.0
24.023356096199326,-0.0002680203331015818,0.0,-0.0002680203331015818,0.0,0.0,0.0
24.029362818916066,1.2789953658533249e-05,0.0,1.2789953658533249e-05,0.0,0.0,0.0
24.035369635671668,-2.706507101697328e-05,0.0,-2.706507101697328e-05,0.0,0.0,0.0
24.041376546865735,-0.0004981674778667816,0.0,-0.0004981674778667816,0.0,0.0,0.0
24.047383552897873,8.925490140213044e-06,0.0,8.925490140213044e-06,0.0,0.0,0.0
24.053390654167693,-9.863613218871747e-05,0.0,-9.863613218871747e-05,0.0,0.0,0.0
24.059397851074802,0.0008612332292151741,0.0,0.0008612332292151741,0.0,0.0,0.0
